bci,cci,inflation_growth_rate,government_reserves,unemployment_rate,industrial_production,long_term_interest,ppi_growth_rate,share_price,short_term_interest,trade_in_goods,qgdp
98.67164,99.99999955321945,3.731343,46876.568370565044,3.7,21.96128,3.41,3.883493,2.46152,5.086949152542373,0.7628,0.640291153
98.12689,99.99999955321945,3.717472,46876.568370565044,3.9,21.66806,3.48,4.193547,2.528652,5.086949152542373,0.6388,-0.219085924
97.98733,99.99999955321945,3.703704,46876.568370565044,4.1,21.58807,3.6,3.525639,2.612568,5.086949152542373,0.4996,-0.219085924
98.13611,99.99999955321945,3.308824,46876.568370565044,4.3,21.6414,3.8,3.514375,2.634945,5.086949152542373,0.6158,-0.219085924
98.25333,99.99999955321945,3.284672,46876.568370565044,4.2,21.77472,3.93,4.153353,2.6797,5.086949152542373,0.5059,0.980018402
98.22737,99.99999955321945,3.663004,46876.568370565044,4.1,21.77472,3.93,3.821654,2.545435,5.086949152542373,0.5176,0.980018402
97.99289,99.99999955321945,3.284672,46876.568370565044,4.4,21.58817,3.92,3.154576,2.455925,5.086949152542373,0.5309,0.980018402
97.46716,99.99999955321945,2.909091,46876.568370565044,4.5,21.26829,3.97,2.83019,2.310472,5.086949152542373,0.4603,-1.034279655
96.89653,99.99999955321945,3.272727,46876.568370565044,5.1,20.76194,3.72,3.134798,2.276906,5.086949152542373,0.4683,-1.034279655
96.32915,99.99999955321945,2.898551,46876.568370565044,5.2,20.36207,3.21,3.448277,2.276906,5.086949152542373,0.4133,-1.034279655
96.02869,99.99999955321945,3.623188,46876.568370565044,5.8,19.98895,3.09,3.426793,2.321661,5.086949152542373,0.3701,-2.595440045
96.23515,99.99999955321945,3.249098,46876.568370565044,6.4,19.56261,3.05,3.105592,2.316066,5.086949152542373,0.2999,-2.595440045
96.70348,99.99999955321945,3.597122,46876.568370565044,6.7,19.32272,2.98,4.049846,2.344038,5.086949152542373,0.3342,-2.595440045
97.34856,99.99999955321945,3.584229,46876.568370565044,7.4,19.00284,2.88,2.786379,2.327255,5.086949152542373,0.3132,0.657226726
98.35947,99.99999955321945,3.214286,46876.568370565044,7.4,19.18939,2.92,2.786379,2.399982,5.086949152542373,0.3124,0.657226726
99.39749,99.99999955321945,2.846975,46876.568370565044,7.3,19.69583,2.97,2.469137,2.46152,5.086949152542373,0.3002,0.657226726
100.2657,99.99999955321945,2.473498,46876.568370565044,7.5,19.98895,3.2,1.840492,2.545435,5.086949152542373,0.3379,2.313217041
100.9465,99.99999955321945,2.120141,46876.568370565044,7.4,20.38873,3.54,1.840492,2.646134,5.086949152542373,0.3185,2.313217041
101.4726,99.99999955321945,2.120141,46876.568370565044,7.1,20.57539,3.76,1.529053,2.71886,5.086949152542373,0.2712,2.313217041
101.8289,99.99999955321945,2.120141,46876.568370565044,6.7,20.81518,3.8,1.529053,2.813965,5.086949152542373,0.2579,2.33810956
101.9867,99.99999955321945,2.112676,46876.568370565044,6.2,21.42818,3.74,0.9118545,2.903475,5.086949152542373,0.2452,2.33810956
102.1073,99.99999955321945,1.760563,46876.568370565044,6.2,21.45484,3.86,0.3030304,2.953824,5.086949152542373,0.1998,2.33810956
102.474,99.99999955321945,1.398601,46876.568370565044,6.0,21.77472,4.02,0.0024193666666666447,3.088089,5.086949152542373,0.1476,1.919552804
102.8782,99.99999955321945,1.048951,46876.568370565044,5.9,22.20107,3.96,-0.2981916666666667,3.0769,5.086949152542373,0.055,1.919552804
103.1272,99.99999955321945,0.3472222,46876.568370565044,5.6,22.52095,3.99,-0.5988027,3.172004,5.086949152542373,0.1058,1.919552804
103.1994,99.99999955321945,0.3460208,46876.568370565044,5.2,23.00063,4.12,-0.49960343333333335,3.216759,5.086949152542373,0.0869,2.255169531
